OBJECTID,Month,SAT,LST,I_temp,Energy,Delta_T,Predicted_Energy,diff,percent_diff,diff sq,Predicted_Energy,diff,percent_diff,diff sq
88,22-Apr,31.77,31.54,20.86,9117,10.68,,,,,,,,
89,22-May,30.53,31.33,20.34,9116,10.99,,,,,,,,
90,22-Jun,28.46,32.36,19.82,8763,12.54,,,,,,,,
91,22-Jul,28.49,31.39,18.81,8602,12.58,,,,,,,,
92,22-Aug,28.5,34.3,23.35,6816,10.95,,,,,,,,
93,22-Sep,28.53,31.43,23.29,8231,8.14,,,,,,,,
94,22-Oct,28.98,32.78,24.11,8214,8.67,,,,,,,,
95,22-Nov,30.04,33.04,22.48,9651,10.56,,,,,,,,
96,22-Dec,28.23,33.13,20.94,7752,12.19,,,,,,,,
97,23-Jan,29.07,35.43,24.69,9403,10.74,,,,,,,,
98,23-Feb,31.51,31.93,21.46,9281,10.47,,,,,,,,
99,23-Mar,32.24,31.97,22.21,10945,9.76,,,,,,,,
100,23-Apr,31.63,31.8,22.13,6902,9.67,,,,,,,,
101,23-May,30.69,30.83,21.04,8979,9.79,,,,,,,,
102,23-Jun,28.44,31.86,19.02,7763,12.84,,,,,,,,
103,23-Jul,28.61,30.89,20.81,6927,10.08,,,,,,,,
104,23-Aug,28.75,32.91,21.47,8361,11.44,,,,,,,,
105,23-Sep,28.56,30.94,22.48,6909,8.46,,,,,,,,
106,23-Oct,29.15,35.65,19.87,9751,15.78,,,,,,,,
107,23-Nov,30.16,33.64,20.71,6823,12.93,,,,,,,,
108,23-Dec,28.35,35.83,22.36,4993,13.47,,,,,,,,
109,24-Jan,29.39,34.39,20.31,3915,14.08,,,,,,,,
110,24-Feb,32.03,34.03,20.49,4614,13.54,,,,,,,,
111,24-Mar,31.99,34.89,21.56,5156,13.33,,,,,,,,
112,24-Apr,31.62,34.62,21.69,9213,12.93,,,,,,,,
113,24-May,30.99,36.89,20.55,7800,16.34,,,,,,,,
114,24-Jun,28.85,36.65,20.68,5640,15.97,,,,,,,,
115,24-Jul,28.8,35.5,18.25,9370,17.25,,,,,,,,
116,24-Aug,28.74,36.64,20.68,9710,15.96,,,,,,,,
117,24-Sep,28.64,35.54,18.23,10376,17.31,,,,,,,,
118,24-Oct,29.74,36.32,20.36,10981,15.96,,,,,,,,
119,24-Nov,30.66,36.41,18.77,10560,17.64,,,,,,,,
120,24-Dec,29.86,36.23,18.89,10745,17.34,,,,,,,,
121,25-Jan,28.71,30.71,20.65,10377,10.06,8029.39,2347.61,5511272.712,29.24,8031.99,2345.01,5499071.9,29.2
122,25-Feb,31.55,32.35,19.83,10087,12.52,8850.62,1236.38,1528635.504,13.97,8853.87,1233.13,1520609.597,13.93
123,25-Mar,31.58,33.58,19.21,10069,14.37,8854.58,1214.42,1474815.936,13.72,8858.3,1210.7,1465794.49,13.67
124,25-Apr,31.39,28.69,21.66,9239,7.03,8818.21,420.79,177064.2241,4.77,8820.03,418.97,175535.8609,4.75
125,25-May,30.56,29.76,22.62,10884,7.14,8576.05,2307.95,5326633.203,26.91,8577.9,2306.1,5318097.21,26.88
126,25-Jun,28.48,29.58,19.71,7178,9.87,7962.86,-784.86,616005.2196,-9.86,7965.41,-787.41,620014.5081,-9.89
127,25-Jul,28.44,29.64,21.18,8550,8.46,7954.85,595.15,354203.5225,7.48,7957.04,592.96,351601.5616,7.45
128,25-Aug,28.28,29.18,21.26,8601,7.92,7909.62,691.38,478006.3044,8.74,7911.67,689.33,475175.8489,8.71
129,25-Sep,28.49,29.59,21.21,6823,8.38,7969.63,-1146.63,1314760.357,-14.39,7971.8,-1148.8,1319741.44,-14.41
130,25-Oct,28.98,31.34,20.62,7429,10.72,8106.36,-677.36,458816.5696,-8.36,8109.14,-680.14,462590.4196,-8.39
131,25-Nov,30.05,31.05,23.48,9241,7.57,8426.32,814.68,663703.5024,9.67,8428.28,812.72,660513.7984,9.64
132,25-Dec,27.48,32.68,22,9867.28,10.68,7669.35,2197.93,4830896.285,28.66,7672.11,2195.17,4818771.329,28.61
,,,,,,,,,1376.432991,,,,1375.000544,
